ticker,name,sector,indices,board
SSIA,"SSIA",Lainnya,KOMPAS100,Utama/Pengembangan
TAPG,"TAPG",Lainnya,KOMPAS100,Utama/Pengembangan
TINS,"TINS",Lainnya,KOMPAS100,Utama/Pengembangan
TLKM,"TLKM",Lainnya,KOMPAS100,Utama/Pengembangan
TOBA,"TOBA",Lainnya,KOMPAS100,Utama/Pengembangan
TOWR,"TOWR",Lainnya,KOMPAS100,Utama/Pengembangan
TPIA,"TPIA",Lainnya,KOMPAS100,Utama/Pengembangan
UNTR,"UNTR",Lainnya,KOMPAS100,Utama/Pengembangan
UNVR,"UNVR",Lainnya,KOMPAS100,Utama/Pengembangan
WIFI,"WIFI",Lainnya,KOMPAS100,Utama/Pengembangan
WIRG,"WIRG",Lainnya,KOMPAS100,Utama/Pengembangan
